,type-id,instance-id,timestamp,value
22307,263251,224285,2010-04-17,0.36
22331,263251,224285,2010-04-18,0.17
22355,263251,224285,2010-04-19,0.2
22379,263251,224285,2010-04-20,0.29
22403,263251,224285,2010-04-21,0.74
22427,263251,224285,2010-04-22,0.88
22451,263251,224285,2010-04-23,0.43
22475,263251,224285,2010-04-24,0.49
22499,263251,224285,2010-04-25,0.36
22523,263251,224285,2010-04-26,0.36
22547,263251,224285,2010-04-27,0.36
22571,263251,224285,2010-04-28,0.79
22595,263251,224285,2010-04-29,0.76
22619,263251,224285,2010-04-30,0.8
22643,263251,224285,2010-05-01,1.0
22667,263251,224285,2010-05-02,0.68
22691,263251,224285,2010-05-03,0.4
22715,263251,224285,2010-05-04,0.3
22739,263251,224285,2010-05-05,0.56
22763,263251,224285,2010-05-06,0.64
22787,263251,224285,2010-05-07,0.27
22811,263251,224285,2010-05-08,0.56
22835,263251,224285,2010-05-09,0.51
22859,263251,224285,2010-05-10,0.94
22883,263251,224285,2010-05-11,1.0
22907,263251,224285,2010-05-12,0.6
22931,263251,224285,2010-05-13,0.53
22955,263251,224285,2010-05-14,0.3
22979,263251,224285,2010-05-15,0.25
23003,263251,224285,2010-05-16,0.21
23027,263251,224285,2010-05-17,0.6
23051,263251,224285,2010-05-18,1.0
23075,263251,224285,2010-05-19,0.55
23099,263251,224285,2010-05-20,0.62
23123,263251,224285,2010-05-21,0.52
23147,263251,224285,2010-05-22,1.0
23171,263251,224285,2010-05-23,0.8
23195,263251,224285,2010-05-24,0.78
23219,263251,224285,2010-05-25,0.37
23243,263251,224285,2010-05-26,0.63
23267,263251,224285,2010-05-27,0.99
23291,263251,224285,2010-05-28,0.94
23315,263251,224285,2010-05-29,0.83
23339,263251,224285,2010-05-30,0.51
23363,263251,224285,2010-05-31,0.84
23387,263251,224285,2010-06-01,0.68
23411,263251,224285,2010-06-02,0.8
23435,263251,224285,2010-06-03,0.81
23459,263251,224285,2010-06-04,0.88
23483,263251,224285,2010-06-05,0.81
23507,263251,224285,2010-06-06,0.71
23531,263251,224285,2010-06-07,0.67
23555,263251,224285,2010-06-08,0.35
23579,263251,224285,2010-06-09,0.67
23603,263251,224285,2010-06-10,0.98
23627,263251,224285,2010-06-11,0.62
23651,263251,224285,2010-06-12,0.55
23675,263251,224285,2010-06-13,0.59
23699,263251,224285,2010-06-14,0.29
23723,263251,224285,2010-06-15,0.47
23747,263251,224285,2010-06-16,0.59
23771,263251,224285,2010-06-17,0.6
23795,263251,224285,2010-06-18,0.29
23819,263251,224285,2010-06-19,0.45
23843,263251,224285,2010-06-20,0.73
23867,263251,224285,2010-06-21,0.67
23891,263251,224285,2010-06-22,0.45
23915,263251,224285,2010-06-23,0.24
23939,263251,224285,2010-06-24,0.46
23963,263251,224285,2010-06-25,0.5
23987,263251,224285,2010-06-26,0.45
24011,263251,224285,2010-06-27,0.31
24035,263251,224285,2010-06-28,0.21
24059,263251,224285,2010-06-29,0.37
24083,263251,224285,2010-06-30,0.39
24107,263251,224285,2010-07-01,0.37
24131,263251,224285,2010-07-02,0.52
24155,263251,224285,2010-07-03,0.57
24179,263251,224285,2010-07-04,0.41
24203,263251,224285,2010-07-05,0.25
24227,263251,224285,2010-07-06,0.36
24251,263251,224285,2010-07-07,0.23
24275,263251,224285,2010-07-08,0.16
24299,263251,224285,2010-07-09,0.18
24323,263251,224285,2010-07-10,0.19
24347,263251,224285,2010-07-11,0.3
24371,263251,224285,2010-07-12,0.36
24395,263251,224285,2010-07-13,0.22
24419,263251,224285,2010-07-14,0.2
24443,263251,224285,2010-07-15,0.14
24467,263251,224285,2010-07-16,0.18
24491,263251,224285,2010-07-17,0.19
24515,263251,224285,2010-07-18,0.19
24539,263251,224285,2010-07-19,0.22
24563,263251,224285,2010-07-20,0.11
24587,263251,224285,2010-07-21,0.2
24611,263251,224285,2010-07-22,0.2
24635,263251,224285,2010-07-23,0.19
24659,263251,224285,2010-07-24,0.14
24683,263251,224285,2010-07-25,0.12
24707,263251,224285,2010-07-26,0.34
24731,263251,224285,2010-07-27,0.35
24755,263251,224285,2010-07-28,0.31
24779,263251,224285,2010-07-29,0.27
24803,263251,224285,2010-07-30,0.24
24827,263251,224285,2010-07-31,0.13
24851,263251,224285,2010-08-01,0.27
24875,263251,224285,2010-08-02,0.13
24899,263251,224285,2010-08-03,0.2
24923,263251,224285,2010-08-04,0.13
24947,263251,224285,2010-08-05,0.12
24971,263251,224285,2010-08-06,0.28
24995,263251,224285,2010-08-07,0.31
25019,263251,224285,2010-08-08,0.27
25043,263251,224285,2010-08-09,0.49
25067,263251,224285,2010-08-10,0.24
25091,263251,224285,2010-08-11,0.43
25115,263251,224285,2010-08-12,0.56
25139,263251,224285,2010-08-13,0.23
25163,263251,224285,2010-08-14,0.28
25187,263251,224285,2010-08-15,0.21
25211,263251,224285,2010-08-16,0.16
25235,263251,224285,2010-08-17,0.13
25259,263251,224285,2010-08-18,0.24
25283,263251,224285,2010-08-19,0.23
25307,263251,224285,2010-08-20,0.17
25331,263251,224285,2010-08-21,0.06
25355,263251,224285,2010-08-22,0.3
